prompt_id,object_name,distance_meters,direction_clock,direction_degrees,is_fetchable,waypoints,warnings
1,book,0.66,9 o'clock (far left),-28.72,False,11 o'clock:1.11m,
2,Chair2,7.75,2 o'clock (right),14.63,False,1 o'clock:0.67m,
3,chair,7.47,3 o'clock (far right),24.09,False,1 o'clock:4.07m,
4,chair,5.36,10 o'clock (left),-15.53,False,11 o'clock:4.49m,
5,chairs,-1.0,3 o'clock (far right),22.23,False,,Invalid depth data for object
6,chair,7.55,10 o'clock (left),-10.13,False,11 o'clock:4.2m,
7,chair,6.25,10 o'clock (left),-13.97,False,11 o'clock:4.47m,
8,coffeemug,-1.0,12 o'clock (straight ahead),2.36,False,,Invalid depth data for object
9,BookSelf,6.23,10 o'clock (left),-10.25,False,11 o'clock:0.57m; 12 o'clock (straight ahead):1.49m,
10,chair,4.54,3 o'clock (far right),23.84,False,,Could not find safe path to object
